1_1_2025,Exp 1
Signal,Time
V,s
1.88731,0.00091
1.97705,0.00091
1.615188,0.00091
0.852799,0.00091
-0.144487,0.00091
-1.124371,0.00091
-1.811194,0.00091
-1.987773,0.00091
-1.572102,0.00092
-0.669874,0.00092
0.453884,0.00092
1.441829,0.00092
1.962872,0.00092
1.832531,0.00092
1.082869,0.00092
-0.038314,0.00092
-1.148377,0.00092
-1.866133,0.00092
-1.947817,0.00093
-1.370229,0.00093
-0.337983,0.00093
0.798343,0.00093
1.666261,0.00093
1.996062,0.00093
1.705251,0.00093
0.904033,0.00093
-0.147387,0.00093
-1.139838,0.00093
-1.807166,0.00094
-1.995668,0.00094
-1.691003,0.00094
-1.002409,0.00094
-0.112748,0.00094
0.773049,0.00094
1.481625,0.00094
1.901004,0.00094
1.988812,0.00094
1.768407,0.00094
1.309072,0.00095
0.702642,0.00095
0.043048,0.00095
-0.543078,0.00095
-1.090699,0.00095
-1.518291,0.00095
-1.809582,0.00095
-1.96554,0.00095
-1.999696,0.00095
-1.935089,0.00095
-1.793954,0.00096
-1.600458,0.00096
-1.373773,0.00096
-1.13291,0.00096
-0.890758,0.00096
-0.655374,0.00096
-0.43465,0.00096
-0.231971,0.00096
-0.048464,0.00096
0.115065,0.00096
0.259261,0.00097
0.385734,0.00097
0.49674,0.00097
0.593891,0.00097
0.680087,0.00097
0.756615,0.00097
0.82686,0.00097
0.891789,0.00097
0.953978,0.00097
1.015685,0.00097
1.077874,0.00098
1.142803,0.00098
1.210954,0.00098
1.284422,0.00098
1.363045,0.00098
1.446824,0.00098
1.535436,0.00098
1.627755,0.00098
1.720395,0.00098
1.808847,0.00098
1.88876,0.00099
1.952883,0.00099
1.991873,0.00099
1.99429,0.00099
1.948211,0.00099
1.841875,0.00099
1.662555,0.00099
1.400423,0.00099
1.052096,0.00099
0.61983,0.00099
0.118126,0.001
-0.424983,0.001
-0.966964,0.001
-1.484779,0.001
-1.836488,0.001
-1.996473,0.001
-1.913339,0.001
-1.563563,0.001
-0.963581,0.001
-0.182993,0.001
0.658497,0.00101
1.403968,0.00101
1.887632,0.00101
1.976889,0.00101
1.615349,0.00101
0.852961,0.00101
-0.144648,0.00101
-1.124532,0.00101
-1.811032,0.00101
-1.987612,0.00101
-1.57323,0.00102
-0.670196,0.00102
0.454046,0.00102
1.441668,0.00102
1.962872,0.00102
1.832531,0.00102
1.082869,0.00102
-0.038153,0.00102
-1.148055,0.00102
-1.866133,0.00102
-1.947173,0.00103
-1.370229,0.00103
-0.338144,0.00103
0.798021,0.00103
1.665294,0.00103
1.995256,0.00103
1.704767,0.00103
0.904033,0.00103
-0.147709,0.00103
-1.139838,0.00103
-1.807005,0.00104
