Time (s)	Signal (V)
0.001091	1.952883
0.001092	1.991551
0.001093	1.994290
0.001094	1.948533
0.001095	1.842198
0.001096	1.662716
0.001097	1.400907
0.001098	1.052418
0.001099	0.619347
0.001100	0.118126
0.001101	-0.425144
0.001102	-0.967287
0.001103	-1.484457
0.001104	-1.836166
0.001105	-1.996634
0.001106	-1.913339
0.001107	-1.563563
0.001108	-0.964226
0.001109	-0.182993
0.001110	0.658175
0.001111	1.403484
0.001112	1.887632
0.001113	1.977373
0.001114	1.615671
0.001115	0.852961
0.001116	-0.144004
0.001117	-1.124693
0.001118	-1.811032
0.001119	-1.987290
0.001120	-1.572586
0.001121	-0.670357
0.001122	0.453562
0.001123	1.441991
0.001124	1.963194
0.001125	1.833336
0.001126	1.082224
0.001127	-0.037992
0.001128	-1.148377
0.001129	-1.866133
0.001130	-1.947656
0.001131	-1.370712
0.001132	-0.337983
0.001133	0.797699
0.001134	1.665133
0.001135	1.995579
0.001136	1.703962
0.001137	0.903228
0.001138	-0.147387
0.001139	-1.139355
0.001140	-1.806682
0.001141	-1.996312
0.001142	-1.691165
0.001143	-1.002570
0.001144	-0.113070
0.001145	0.772887
0.001146	1.481947
0.001147	1.901004
0.001148	1.988651
0.001149	1.768407
0.001150	1.309555
0.001151	0.702642
0.001152	0.042887
0.001153	-0.543078
0.001154	-1.090376
0.001155	-1.517969
0.001156	-1.809421
0.001157	-1.965217
0.001158	-2.000501
0.001159	-1.934767
0.001160	-1.794116
0.001161	-1.600297
0.001162	-1.374579
0.001163	-1.133393
0.001164	-0.890597
0.001165	-0.656018
0.001166	-0.434811
0.001167	-0.231971
0.001168	-0.048786
0.001169	0.114743
0.001170	0.259099
0.001171	0.386056
0.001172	0.496740
0.001173	0.594052
0.001174	0.679764
0.001175	0.756615
0.001176	0.826860
0.001177	0.891628
0.001178	0.954139
0.001179	1.015201
0.001180	1.077713
0.001181	1.142803
0.001182	1.211115
0.001183	1.283938
0.001184	1.363045
0.001185	1.446985
0.001186	1.535598
0.001187	1.627433
0.001188	1.720073
0.001189	1.809008
0.001190	1.889082
0.001191	1.953205
0.001192	1.991551
0.001193	1.994128
0.001194	1.948211
0.001195	1.841875
0.001196	1.662878
0.001197	1.400907
0.001198	1.052096
0.001199	0.619347
0.001200	0.117804
0.001201	-0.424661
0.001202	-0.966964
0.001203	-1.484457
0.001204	-1.836166
0.001205	-1.995990
0.001206	-1.913339
0.001207	-1.563402
0.001208	-0.964064
0.001209	-0.182993
0.001210	0.658336
0.001211	1.403162
0.001212	1.887793
0.001213	1.977211
0.001214	1.615510
0.001215	0.852961
0.001216	-0.144326
0.001217	-1.124371
0.001218	-1.811194
0.001219	-1.987451
0.001220	-1.573069
0.001221	-0.670196
0.001222	0.453884
0.001223	1.441829
0.001224	1.963517
0.001225	1.833175
0.001226	1.083030
0.001227	-0.038153
0.001228	-1.148055
0.001229	-1.866455
0.001230	-1.948462
0.001231	-1.371034
0.001232	-0.338466
0.001233	0.797538
0.001234	1.665294
0.001235	1.995417
0.001236	1.703801
0.001237	0.903550
0.001238	-0.147548
0.001239	-1.138871
0.001240	-1.806038
0.001241	-1.994379
0.001242	-1.690198
0.001243	-1.002570
0.001244	-0.113070
0.001245	0.773049
0.001246	1.481463
0.001247	1.900682
0.001248	1.988812
0.001249	1.768568
0.001250	1.309555
0.001251	0.702803
0.001252	0.043209
0.001253	-0.542917
0.001254	-1.090538
0.001255	-1.518613
0.001256	-1.809260
0.001257	-1.965217
0.001258	-2.000179
0.001259	-1.935250
0.001260	-1.794438
0.001261	-1.600619
0.001262	-1.374740
0.001263	-1.133555
0.001264	-0.890597
0.001265	-0.655857
0.001266	-0.434650
0.001267	-0.231810
0.001268	-0.048625
0.001269	0.114421
0.001270	0.259261
0.001271	0.386378
0.001272	0.496740
0.001273	0.594213
0.001274	0.680087
0.001275	0.757260
0.001276	0.826377
0.001277	0.891467
0.001278	0.954139
0.001279	1.015524
0.001280	1.077552
0.001281	1.143125
0.001282	1.210954
0.001283	1.283938
0.001284	1.363045
0.001285	1.446985
0.001286	1.535598
0.001287	1.628077
0.001288	1.720073
0.001289	1.809008
0.001290	1.889243
0.001291	1.953205
0.001292	1.991390
0.001293	1.994612
0.001294	1.948533
0.001295	1.841875
0.001296	1.662716
0.001297	1.400745
0.001298	1.051935
0.001299	0.619669
0.001300	0.118448
0.001301	-0.424822
0.001302	-0.966803
0.001303	-1.484457
0.001304	-1.836166
0.001305	-1.996151
0.001306	-1.913500
0.001307	-1.563725
0.001308	-0.964064
0.001309	-0.182993
0.001310	0.658175
0.001311	1.403323
0.001312	1.887793
0.001313	1.977534
0.001314	1.615832
0.001315	0.853444
0.001316	-0.144004
0.001317	-1.124854
0.001318	-1.811032
0.001319	-1.987290
0.001320	-1.573069
0.001321	-0.670357
0.001322	0.453723
0.001323	1.441991
0.001324	1.963517
0.001325	1.833659
0.001326	1.083191
0.001327	-0.038475
0.001328	-1.148377
0.001329	-1.866616
0.001330	-1.947817
0.001331	-1.370712
0.001332	-0.338305
0.001333	0.797860
